host,dataset,engine,enc_op,enc_pb,dec_op,dec_pb,ratio_op,ratio_pb,builds
c8i,prose_pride,td_naive,43,44,51,53,1.73,1.72,8
c8i,prose_pride,td_scl_opt,76,77,73,74,1.72,1.72,8
c8i,prose_pride,td_nv_simd,43,44,786,1379,1.73,1.72,8
c8i,prose_pride,td_simdopt,1035,2407,1105,2633,1.73,1.72,8
c8i,prose_pride,huf0,1304,2077,1785,1886,1.74,1.75,8
c8i,prose_pride,huf0_stk,1304,,1791,,1.74,,8
c8i,prose_pride,fse_stk,617,753,525,531,1.76,1.76,8
c8i,prose_pride,fse_x8y1,710,978,1330,1397,1.76,1.76,8
c8a,proba80,ph,746,12924,20290,27599,6.29,6.32,8
c8a,proba80,pha,659,3883,4914,5353,8.49,8.55,8
c8a,proba80,td_naive,250,366,264,405,6.35,6.39,8
c8a,proba80,td_scl_opt,281,447,406,835,6.29,6.32,8
c8a,proba80,td_nv_simd,250,366,649,3556,6.35,6.39,8
c8a,proba80,td_simdopt,751,13899,734,9601,6.31,6.35,8
c8a,proba80,huf0,1394,2613,3360,3499,6.40,6.40,8
c8a,proba80,huf0_stk,1394,,3340,,6.40,,8
c8a,proba80,fse_stk,728,988,731,747,8.86,8.86,8
c8a,proba80,fse_x8y1,,,,,,,
c8a,prose_pride,ph,1371,4267,5516,8753,1.72,1.72,8
c8a,prose_pride,pha,1253,3312,5492,8755,1.72,1.72,8
c8a,prose_pride,td_naive,47,48,59,61,1.73,1.72,8
c8a,prose_pride,td_scl_opt,78,80,82,84,1.72,1.72,8
c8a,prose_pride,td_nv_simd,47,48,878,1517,1.73,1.72,8
c8a,prose_pride,td_simdopt,1363,4295,1268,2685,1.73,1.72,8
c8a,prose_pride,huf0,1678,2597,3035,3256,1.74,1.75,8
c8a,prose_pride,huf0_stk,1676,,3044,,1.74,,8
c8a,prose_pride,fse_stk,813,986,1025,1046,1.76,1.76,8
c8a,prose_pride,fse_x8y1,849,1193,1782,1938,1.76,1.76,8
c8g,proba80,ph,414,1475,6851,8778,6.29,6.32,8
c8g,proba80,pha,371,1040,2395,2613,8.49,8.55,8
c8g,proba80,td_naive,210,334,217,349,6.35,6.39,8
c8g,proba80,td_scl_opt,234,394,305,655,6.29,6.32,8
c8g,proba80,td_nv_simd,211,333,444,1935,6.35,6.39,8
c8g,proba80,td_simdopt,414,1463,507,4380,6.29,6.32,8
c8g,proba80,huf0,806,1628,1950,1963,6.40,6.40,8
c8g,proba80,huf0_stk,806,,1939,,6.40,,8
c8g,proba80,fse_stk,434,606,479,489,8.86,8.86,8
c8g,proba80,fse_x8y1,,,,,,,
c8g,prose_pride,ph,525,761,1900,2484,1.72,1.72,8
c8g,prose_pride,pha,500,714,1899,2473,1.72,1.72,8
c8g,prose_pride,td_naive,46,47,57,60,1.73,1.72,8
c8g,prose_pride,td_scl_opt,79,82,82,85,1.72,1.72,8
c8g,prose_pride,td_nv_simd,46,47,520,764,1.73,1.72,8
c8g,prose_pride,td_simdopt,526,766,694,1175,1.72,1.72,8
c8g,prose_pride,huf0,961,1620,1786,1867,1.74,1.75,8
c8g,prose_pride,huf0_stk,960,,1783,,1.74,,8
c8g,prose_pride,fse_stk,479,605,570,582,1.76,1.76,8
c8g,prose_pride,fse_x8y1,597,888,1160,1258,1.76,1.76,8
c6a,proba80,ph,464,1784,6756,9038,6.22,6.25,8
c6a,proba80,pha,409,1195,2558,2839,8.26,8.31,8
c6a,proba80,td_naive,205,304,213,326,6.35,6.39,8
c6a,proba80,td_scl_opt,238,383,351,814,6.29,6.32,8
c6a,proba80,td_nv_simd,,,,,,,
c6a,proba80,td_simdopt,,,,,,,
c6a,proba80,huf0,882,1685,1702,1714,6.40,6.40,8
c6a,proba80,huf0_stk,883,,1710,,6.40,,8
c6a,proba80,fse_stk,468,643,530,542,8.86,8.86,8
c6a,proba80,fse_x8y1,,,,,,,
c6a,prose_pride,ph,531,777,1253,1670,1.70,1.70,8
c6a,prose_pride,pha,507,726,1255,1675,1.70,1.70,8
c6a,prose_pride,td_naive,40,41,52,54,1.73,1.72,8
c6a,prose_pride,td_scl_opt,71,73,74,76,1.72,1.72,8
c6a,prose_pride,td_nv_simd,,,,,,,
c6a,prose_pride,td_simdopt,,,,,,,
c6a,prose_pride,huf0,1090,1670,1502,1573,1.74,1.75,8
c6a,prose_pride,huf0_stk,1090,,1513,,1.74,,8
c6a,prose_pride,fse_stk,527,641,676,696,1.76,1.76,8
c6a,prose_pride,fse_x8y1,621,847,985,1074,1.76,1.76,8
